h0dn_row_1based	name	official_row_1based	official_CID	IDSURVEY	h0dn_err_m_b	official_m_b_corr_err_DIAG	official_STAT_SYS_diagonal	official_STAT_SYS_diagonal_sqrt	catalog_vs_matrix_absolute_difference	catalog_vs_matrix_within_tolerance	h0dn_vs_matrix_absolute_difference	h0dn_vs_matrix_within_tolerance
46	1999gp	411	1999gp	57	0.12969	0.20410500000000001	0.01681844	0.12968592830372924	0.074419071696270767	NO	4.0716962707576521e-06	YES
47	ASASSN-17at	413	ASASSN-17at	150	0.13386000000000001	0.18479799999999999	0.017919649999999999	0.13386429695777735	0.050933703042222639	NO	4.2969577773444012e-06	YES
48	2013fn	415	2013fn	56	0.21614	0.29768499999999998	0.046714539999999999	0.2161354667795177	0.081549533220482279	NO	4.5332204823000932e-06	YES
49	2002eb	416	2002eb	57	0.12279	0.17022899999999999	0.015077419999999999	0.12279014618445569	0.047438853815544302	NO	1.4618445569325456e-07	YES
50	2007co	417	2007co	57	0.16392000000000001	0.22920399999999999	0.026870640000000001	0.16392266469283617	0.065281335307163818	NO	2.6646928361628852e-06	YES
51	2007co	418	2007co	56	0.24907000000000001	0.34553800000000001	0.062036389999999997	0.24907105411910072	0.096466945880899296	NO	1.0541191007018558e-06	YES
52	2007co	419	2007co	64	0.18583	0.26024799999999998	0.034532359999999998	0.1858288459846856	0.074419154015314376	NO	1.1540153143918541e-06	YES
53	1992P	420	1992P	50	0.15912999999999999	0.218475	0.02532119	0.1591263334586705	0.059348666541329503	NO	3.6665413294945104e-06	YES
54	2005na	423	2005na	5	0.12046999999999999	0.170601	0.014511990000000001	0.12046572126542887	0.050135278734571131	NO	4.2787345711225999e-06	YES
55	2005na	424	2005na	64	0.12683	0.184895	0.016085849999999999	0.12683000433651337	0.058064995663486635	NO	4.3365133706174674e-09	YES
56	2005na	425	2005na	57	0.13264999999999999	0.16814100000000001	0.017596819999999999	0.13265300599684879	0.035487994003151224	NO	3.0059968487983202e-06	YES
57	2010ii	428	2010ii	51	0.13466	0.18278700000000001	0.0181342	0.13466328378589318	0.048123716214106826	NO	3.2837858931766828e-06	YES
58	PSNJ0252467	430	PSNJ0252467	150	0.13621	0.18870600000000001	0.018553610000000002	0.13621163680097234	0.052494363199027672	NO	1.6368009723433108e-06	YES
59	2009aa	431	2009aa	5	0.12484000000000001	0.17130100000000001	0.01558461	0.12483833545830383	0.046462664541696175	NO	1.6645416961724724e-06	YES
60	2011hb	432	2011hb	56	0.20984	0.29168699999999997	0.04403468	0.20984441855813082	0.08184258144186915	NO	4.4185581308253674e-06	YES
61	2005eq	433	2005eq	57	0.11466	0.16084200000000001	0.013146390000000001	0.1146577079833711	0.046184292016628908	NO	2.2920166288936672e-06	YES
62	2005eq	434	2005eq	5	0.11351	0.15792600000000001	0.012884619999999999	0.11351044004848188	0.044415559951518135	NO	4.4004848187562118e-07	YES
63	2005eq	435	2005eq	64	0.11312999999999999	0.15870500000000001	0.01279947	0.11313474267438806	0.045570257325611957	NO	4.7426743880613076e-06	YES
64	2009ad	437	2009ad	65	0.11318	0.15801100000000001	0.01280949	0.11317901748999237	0.04483198251000764	NO	9.8251000762994423e-07	YES
65	2009ad	438	2009ad	5	0.11487	0.15418000000000001	0.0131951	0.11486992643855919	0.039310073561440825	NO	7.3561440813718626e-08	YES
66	2008ar	440	2008ar	57	0.13113	0.178289	0.017194350000000001	0.13112722829374532	0.047161771706254685	NO	2.7717062546783744e-06	YES
67	2008ar	441	2008ar	5	0.13047	0.17618600000000001	0.017022929999999999	0.13047195100863632	0.045714048991363693	NO	1.9510086363139223e-06	YES
68	2008ar	442	2008ar	65	0.13083	0.17820900000000001	0.017117500000000001	0.13083386411781928	0.04737513588218073	NO	3.8641178192744263e-06	YES
69	2007is	446	2007is	65	0.16295000000000001	0.209647	0.026554089999999999	0.16295425738531658	0.046692742614683425	NO	4.2573853165639441e-06	YES
70	1998ab	448	1998ab	62	0.16438	0.22614300000000001	0.027022399999999999	0.16438491414968709	0.061758085850312922	NO	4.9141496870908075e-06	YES
71	ASASSN-15la	451	ASASSN-15la	150	0.15651000000000001	0.21698999999999999	0.02449455	0.15650734807030628	0.060482651929693709	NO	2.6519296937310699e-06	YES
72	1996C	452	1996C	61	0.17813000000000001	0.249362	0.031731170000000003	0.17813245072136633	0.071229549278633675	NO	2.4507213663149674e-06	YES
73	PS16cvc	453	PS16cvc	150	0.12934999999999999	0.18134600000000001	0.016732070000000002	0.12935250287489608	0.051993497125103927	NO	2.5028748960875813e-06	YES
